customer_id,age,gender,location,customer_tier,preferred_style,lifetime_purchases
CUST-67640,59,Female,Đà Lạt,New,Casual,1
CUST-47843,46,Female,Hà Nội,New,Classic,2
CUST-40248,45,Female,Hải Phòng,Silver,Elegant,6
CUST-36244,55,Female,Đà Lạt,New,Classic,0
CUST-64905,59,Female,Vũng Tàu,Gold,Formal,13
CUST-77038,52,Female,Hải Phòng,Silver,Classic,5
CUST-84497,41,Male,Biên Hòa,Silver,Elegant,8
CUST-26800,41,Female,Hà Nội,New,Sporty,1
CUST-65505,40,Female,TP. Hồ Chí Minh,New,Casual,0
CUST-49681,40,Female,Hà Nội,Silver,Classic,4
CUST-47255,52,Female,Vũng Tàu,Silver,Formal,4
CUST-88605,61,Female,Đà Lạt,Silver,Classic,3
CUST-78022,51,Female,Hà Nội,New,Sporty,0
CUST-75051,40,Female,Hà Nội,New,Formal,2
CUST-66401,50,Female,TP. Hồ Chí Minh,New,Elegant,4
CUST-72620,50,Female,TP. Hồ Chí Minh,Silver,Classic,3
CUST-81545,68,Female,Huế,New,Elegant,1
CUST-79708,40,Female,Hà Nội,Silver,Casual,2
CUST-15249,48,Male,Nha Trang,New,Casual,0
CUST-72409,65,Female,Đà Nẵng,New,Classic,0
CUST-51383,55,Female,TP. Hồ Chí Minh,Silver,Sporty,1
CUST-34613,56,Female,Hà Nội,Silver,Classic,6
CUST-88037,52,Male,Vũng Tàu,Gold,Casual,12
CUST-53022,54,Female,Đà Nẵng,New,Casual,2
CUST-50814,58,Male,TP. Hồ Chí Minh,Silver,Classic,8
CUST-11507,45,Female,TP. Hồ Chí Minh,New,Elegant,2
CUST-95406,59,Female,Đà Lạt,Silver,Casual,4
CUST-62031,41,Female,Nha Trang,Silver,Casual,6
CUST-14423,54,Female,Nha Trang,New,Elegant,2
CUST-99479,53,Female,Đà Nẵng,Silver,Casual,7
CUST-65491,47,Male,Đà Lạt,New,Classic,1
CUST-72634,51,Female,TP. Hồ Chí Minh,New,Classic,2
CUST-29840,47,Female,Cần Thơ,New,Formal,2
CUST-30935,43,Female,TP. Hồ Chí Minh,New,Classic,1
CUST-61607,49,Female,Đà Nẵng,Gold,Casual,18
CUST-73878,43,Female,Vũng Tàu,Silver,Casual,4
CUST-15816,54,Male,Vũng Tàu,Silver,Elegant,4
CUST-94713,42,Male,TP. Hồ Chí Minh,Gold,Classic,16
CUST-46709,57,Female,Đà Nẵng,Silver,Elegant,5
CUST-90226,42,Female,Đà Lạt,New,Elegant,2
CUST-51600,47,Female,Vũng Tàu,New,Casual,0
CUST-54617,47,Male,Nha Trang,New,Elegant,0
CUST-52326,62,Female,Hà Nội,Gold,Sporty,14
CUST-18616,54,Female,TP. Hồ Chí Minh,Gold,Classic,15
CUST-96592,50,Male,Đà Lạt,Silver,Elegant,5
CUST-34103,55,Male,Cần Thơ,New,Formal,1
CUST-48010,40,Female,Cần Thơ,New,Classic,2
CUST-91540,51,Female,Hải Phòng,Gold,Casual,14
CUST-54237,67,Female,TP. Hồ Chí Minh,New,Casual,1
CUST-12740,53,Female,TP. Hồ Chí Minh,Silver,Formal,10
CUST-55226,52,Female,Nha Trang,New,Elegant,0
CUST-56230,56,Female,TP. Hồ Chí Minh,New,Elegant,3
CUST-53321,59,Female,Hải Phòng,Silver,Sporty,6
CUST-61260,40,Female,Cần Thơ,Gold,Elegant,13
CUST-19341,40,Female,Huế,Silver,Casual,6
CUST-81573,53,Female,TP. Hồ Chí Minh,New,Casual,2
CUST-26358,46,Male,Cần Thơ,New,Classic,3
CUST-76426,62,Female,Hà Nội,Gold,Casual,14
CUST-91544,49,Male,Hà Nội,Silver,Sporty,3
CUST-72257,40,Female,TP. Hồ Chí Minh,New,Elegant,2
CUST-24702,41,Female,Hà Nội,Silver,Casual,4
CUST-88586,40,Female,Biên Hòa,New,Casual,1
CUST-72850,50,Female,Đà Lạt,New,Classic,2
CUST-76831,50,Female,Hà Nội,Gold,Formal,15
CUST-29906,48,Female,Huế,Silver,Classic,6
CUST-80347,60,Female,TP. Hồ Chí Minh,New,Elegant,0
CUST-47852,61,Female,Cần Thơ,New,Formal,1
