call_id,customer_id,call_duration_seconds,call_time_of_day,call_outcome,order_value_vnd,agent_id,follow_up_required
CALL-25867,CUST-57839,241,Morning (8-11h),Success,624000,AGT-003,False
CALL-88818,CUST-57839,186,Afternoon (13-17h),Success,1006000,AGT-002,False
CALL-56291,CUST-57839,122,Morning (8-11h),Not Interested,0,AGT-002,False
CALL-33141,CUST-57839,105,Afternoon (13-17h),Success,642000,AGT-004,False
CALL-30440,CUST-57839,445,Afternoon (13-17h),Call Back Later,0,AGT-002,True
CALL-50776,CUST-14463,174,Afternoon (13-17h),Success,769000,AGT-004,False
CALL-21801,CUST-14463,343,Noon (11-13h),Success,1106000,AGT-001,False
CALL-61234,CUST-14463,62,Afternoon (13-17h),Call Back Later,0,AGT-007,True
CALL-71300,CUST-14463,86,Afternoon (13-17h),Call Back Later,0,AGT-015,True
CALL-69078,CUST-84943,269,Noon (11-13h),Success,903000,AGT-005,False
CALL-25496,CUST-84943,54,Morning (8-11h),Not Interested,0,AGT-015,False
CALL-31614,CUST-84943,57,Afternoon (13-17h),No Answer,0,AGT-017,False
CALL-76132,CUST-84943,47,Noon (11-13h),Call Back Later,0,AGT-004,True
CALL-76369,CUST-78621,76,Afternoon (13-17h),No Answer,0,AGT-001,True
CALL-19106,CUST-94904,149,Afternoon (13-17h),No Answer,0,AGT-003,False
CALL-66778,CUST-94904,184,Afternoon (13-17h),Success,1958000,AGT-001,False
CALL-43077,CUST-94904,138,Evening (17-20h),Success,1051000,AGT-001,False
CALL-18722,CUST-94904,93,Morning (8-11h),Success,1211000,AGT-001,False
CALL-39597,CUST-67726,126,Morning (8-11h),Success,424000,AGT-008,False
CALL-14773,CUST-67726,345,Evening (17-20h),Success,1084000,AGT-012,False
CALL-61931,CUST-67726,123,Evening (17-20h),Success,1352000,AGT-007,False
CALL-46242,CUST-67726,87,Afternoon (13-17h),Success,959000,AGT-003,False
CALL-62352,CUST-67726,7,Afternoon (13-17h),No Answer,0,AGT-001,False
CALL-30271,CUST-32628,114,Afternoon (13-17h),Call Back Later,0,AGT-003,True
CALL-50411,CUST-32628,260,Afternoon (13-17h),Not Interested,0,AGT-002,False
CALL-59659,CUST-32628,20,Afternoon (13-17h),Not Interested,0,AGT-016,False
CALL-78570,CUST-32628,35,Afternoon (13-17h),Call Back Later,0,AGT-013,True
CALL-89623,CUST-32628,78,Afternoon (13-17h),No Answer,0,AGT-001,False
CALL-26838,CUST-32628,68,Afternoon (13-17h),Success,688000,AGT-007,False
CALL-73909,CUST-32628,133,Noon (11-13h),No Answer,0,AGT-004,True
